,vegetable
0,あおくびだいこん
1,あおじそ
2,あおなす
3,あおねぎ
4,あかおくら
5,あかかぶ
6,あかかわくりかぼちゃ
7,あかじそ
8,あかだまねぎ
9,あかだいこん
10,あかねぎ
11,あかぴーまん
12,あきたふき
13,あさつき
14,あすぱらな
15,あすぺるじゅ・そ…
16,あつみかぶ
17,あほうみや
18,あやめゆき
19,あんですあか
20,やすのういも
21,いしかわわせ
22,いたりあんぱせり
23,いちょういも
24,いぼなしきゅうり
25,いんかのめざめ
26,うっでぃーこーん
27,えごま
28,えしゃれっと
29,えびいも
30,えんだいぶ
31,えんめいらく
32,おおうらごぼう
33,おおのあかかぶ
34,おくら
35,おれんじかりふら…
36,おれんじはくさい
37,かいわれだいこん
38,かがた
39,かなざわあおかぶ
40,かめいどだいこん
41,からしな
42,からみだいこん
43,かーぼろねろ
44,きかぶ
45,うすいえんどう
46,きたあかり
47,きたまねぎ
48,きたむらさき
49,きにら
50,きにんじん
51,きょういも
52,きんいとうり
53,きんときにんじん
54,くきぶろっこりー
55,くきれたす
56,きゅうじょうねぎ
57,くろかわこだまかぼちゃ
58,くろだいこん
59,くろにんにく
60,ぐりーんあすぱら…
61,ぐりーんかーる
62,ぐりーんぼーる
63,たかけい14ごう
64,くれないしんだいこん
65,しょうかぶ
66,こがねせんがん
67,こどもぴーまん
68,しょうなす
69,こりんきー
70,ごすんにんじん
71,ごぼう
72,ごろうしまきんとき
73,ごーるどらっしゅ
74,さくらしまだいこん
75,さにーれたす
76,さぬきのめざめ
77,さぼいきゃべつ
78,さらだからしな
79,さらだな
80,さるしふぃ
81,さんちゅ
82,さんとうな
83,しおとまと
84,ししりあんるーじゅ
85,しせんきゅうり
86,しまとうがらし
87,しまらっきょう
88,しもにたねぎ
89,しょうごいんかぶ
90,しょうごいんだいこん
91,しるくすいーと
92,しろいぼきゅうり
93,しろうり
94,しろおくら
95,しろきゅうり
96,しろごーや
97,しろだまねぎ
98,しろなす
99,しろねぎ
100,しんごぼう
101,しんしあ
102,あたらしょうが
103,しんたまねぎ
104,しぜんしょ
105,じゃんぼにんにく
106,すいすちゃーど
107,すぐきな
108,すなっぷえんどう
109,すぷらうと
110,いもくき（ずいき）
111,せるばちこ
112,たかな
113,たかのつめ
114,たきのかわごぼう
115,しゅししまむらさき
116,だいずもやし
117,だんしゃくしょ
118,ちゃまめ
119,なかかぶ・おおかぶ
120,なかちょうなす
121,つくねいも
122,つだかぶ
123,てんのうじかぶ
124,でじま
125,まめなえ
126,とうや
127,とよしろ
128,つちすい（どだれ）
129,ながいも
130,ちょうなす
131,なるときんとき
132,にしゆたか
133,にんにく
134,にんにくのめ
135,ねしょうが
136,ねまがりたけ（ひめたけ）
137,ねりまだいこん
138,のーざんるびー
139,はかたつぼみな
140,はぐらうり
141,はごぼう
142,はしょうが
143,はすいも
144,はたまねぎ
145,はとうがらし
146,はなずっきーに
147,はなにら
148,はなほじそ
149,はにんにく
150,はやとうり
151,ばたーなっつ
152,ばななぴーまん
153,ぱくちょい
154,ぱぷりか
155,ぱーぷるすいーと…
156,ひだあかかぶ
157,ひのな
158,ひもとうがらし
159,びたみんだいこん
160,ぴっこらるーじゅ
161,ふぁーすととまと
162,ふきのとう
163,ふしみかんちょうとうがらし
164,ふりるれたす
165,ぶらうんまっしゅ…
166,ぶらっくまっぺも…
167,ぶーけれたす
168,ぷちにんにく
169,ぷちゔぇーる
170,ぷっちぃーに
171,ぷんたれっら
172,こめなす
173,べにあずま
174,べにはるか（くれないは…
175,べびーこーん
176,ぺころす
177,ほじそ
178,ほりかわごぼう
179,ほわいとあすぱら…
180,ほわいとこーん
181,ほわいとせろり
182,まいくろとまと
183,ますたーどぐりーん
184,まことたけ
185,まるおくら
186,まるずっきーに
187,まるなす
188,まんがんてらとうがらし
189,みうらだいこん
190,みずなす
191,みにあすぱらがす
192,みにおくら
193,みにきゃろっと
194,みにきゅうり
195,みにはくさい
196,みぶな（みぶな）
197,みょうがたけ
198,あじらい（みらい）
199,むかご
200,むらさきあすぱらがす
201,むらさきかりふらわー
202,むらさききゃべつ
203,むらさきにんじん
204,むらさきはくさい
205,めきゃべつ
206,めぐみあじ（めぐみ）
207,めじそ
208,めねぎ
209,めーくいん
210,もうしゅうたけ
211,ももたろう
212,もろっこいんげん
213,もーうぃ
214,やつあたま
215,まんき（ゆるぎ）かぶ
216,らっきょう
217,らでぃっしゅ
218,みどりまめもやし
219,りーき
220,るっこら
221,れたす
222,れっどますたーど
223,ろまねすこ
224,ろめいんれたす
225,わけぎ
226,わさびな
227,あしたば
228,あすぱらがす
229,あーてぃちょーく
230,うど
231,うり
232,えしゃろっと
233,えだまめ
234,えのきたけ
235,えりんぎ
236,おかひじき
237,おくら
238,かいわれだいこん
239,かぶ
240,かぼちゃ
241,からしな
242,かりふらわー
243,きくらげ
244,きゃべつ
245,きゅうり
246,そらしんな
247,ぐりーんぴーす
248,くれそん
249,くわい
250,ごぼう
251,こまつな
252,ごーや
253,こーるらび
254,さつまいも
255,さといも
256,さやいんげん
257,さやえんどう
258,しいたけ
259,ししとう
260,しそ
261,しめじ
262,じゃがいも
263,しゅんぎく
264,しょうが
265,しょくようきく
266,ずっきーに
267,せろり
268,そらまめ
269,たあさい
270,だいこん
271,たけのこ
272,たまねぎ
273,ちこりー
274,ちんげんさい
275,つるむらさき
276,とうがらし
277,とうがん
278,とうもろこし
279,とまと
280,とれびす
281,なす
282,なばな
283,なめこ
284,にら
285,にんじん
286,にんにく
287,ねぎ
288,はくさい
289,ぱせり
290,ひらたけ
291,びーつ
292,ぴーまん
293,ふき
294,ふだんくさ
295,ぶろっこりー
296,ほうれんくさ
297,まいたけ
298,まっしゅるーむ
299,まつたけ
300,みずな
301,みつば
302,みょうが
303,もやし
304,もろへいや
305,やまのいも
306,やーこん
307,ゆりね
308,らっきょう
309,るっこら
310,るばーぶ
311,れたす
312,れんこん
313,やまいも
